Start Time,End Time,Volume,Open Actual,Open Predicted,High Actual,High Predicted,Low Actual,Low Predicted,Close Actual,Close Predicted
2024-10-02 06:45:28,2024-10-02 06:49:50,11.999,5332911,5326362.0,5332989,5333666.5,5326759,5321900.5,5331166,5319990.5
2024-10-02 06:49:50,2024-10-02 06:54:12,15.459,5331485,5328622.5,5335416,5333766.0,5327753,5321792.0,5330181,5319723.5
2024-10-02 06:54:12,2024-10-02 07:00:45,7.283,5330500,5327132.0,5331382,5333226.5,5326759,5321793.5,5326759,5319878.5
2024-10-02 07:00:45,2024-10-02 07:05:07,10.048,5327606,5326854.0,5331494,5333617.5,5326336,5321809.0,5327528,5319683.5
2024-10-02 07:05:07,2024-10-02 07:09:29,9.902,5327960,5326854.0,5331433,5333617.5,5320158,5321809.0,5323243,5319683.5
2024-10-02 07:09:29,2024-10-02 07:16:03,11.318,5322897,5303050.5,5326526,5312833.5,5318085,5315227.5,5324081,5312815.5
2024-10-02 07:16:03,2024-10-02 07:20:25,13.064,5323856,5326764.0,5329507,5333719.5,5322880,5321719.5,5327390,5319770.0
2024-10-02 07:20:25,2024-10-02 07:24:47,8.702,5327217,5319502.5,5327442,5331473.0,5317540,5312018.0,5319096,5319512.0
2024-10-02 07:24:47,2024-10-02 07:29:09,11.08,5318750,5319607.0,5331140,5331879.5,5317834,5312057.0,5331140,5319388.5
2024-10-02 07:29:09,2024-10-02 07:35:42,17.738,5330984,5327525.5,5338173,5336316.0,5329904,5322269.0,5337119,5334035.5
2024-10-02 07:35:42,2024-10-02 07:40:04,39.617,5337119,5336975.0,5349379,5346565.5,5337119,5336637.5,5344143,5343520.5
2024-10-02 07:40:04,2024-10-02 07:44:27,21.233,5345085,5342687.0,5347158,5348054.5,5337931,5337826.0,5340177,5343869.0
2024-10-02 07:44:27,2024-10-02 07:51:00,28.585,5340177,5334165.5,5347392,5346828.0,5337689,5337927.5,5338458,5344308.5
2024-10-02 07:51:00,2024-10-02 07:55:22,15.622,5337689,5327064.5,5338121,5336366.0,5331364,5321846.5,5332133,5333607.0
2024-10-02 07:55:22,2024-10-02 07:59:44,22.213,5332470,5329493.0,5334025,5333725.0,5328418,5321904.5,5329740,5319732.5
2024-10-02 07:59:44,2024-10-02 08:04:06,16.647,5329602,5327525.5,5332488,5336366.0,5324357,5322250.5,5331494,5334002.0
2024-10-02 08:04:06,2024-10-02 08:10:40,15.664,5330725,5328433.0,5333110,5333766.0,5319968,5321792.0,5320901,5319736.0
2024-10-02 08:10:40,2024-10-02 08:15:02,12.692,5321005,5303540.0,5325541,5312822.0,5321005,5315294.5,5322456,5313133.0
2024-10-02 08:15:02,2024-10-02 08:19:24,12.515,5322301,5326534.5,5327520,5333667.5,5320841,5321879.5,5324867,5320023.0
2024-10-02 08:19:24,2024-10-02 08:25:57,6.341,5324098,5325076.5,5331788,5336267.0,5322897,5321909.0,5331788,5333746.0
2024-10-02 08:25:57,2024-10-02 08:30:19,6.739,5331019,5326401.0,5334112,5333460.5,5328081,5321811.0,5328945,5319864.5
