startTime,open,high,low,close,endTime,volume
2024-09-29 01:10:13,5683959,5685377,5680490,5680594,2024-09-29 01:14:35,4.002
2024-09-29 01:14:35,5681874,5684841,5678336,5684841,2024-09-29 01:18:58,4.232
2024-09-29 01:18:58,5684054,5691052,5683353,5687747,2024-09-29 01:25:31,4.7
2024-09-29 01:25:31,5688535,5690611,5685775,5687592,2024-09-29 01:29:53,1.622
2024-09-29 01:29:53,5686294,5690368,5686208,5686208,2024-09-29 01:34:15,2.191
2024-09-29 01:34:15,5687427,5687471,5681943,5687471,2024-09-29 01:40:48,2.64
2024-09-29 01:40:48,5686683,5687471,5682834,5685351,2024-09-29 01:45:10,1.635
2024-09-29 01:45:10,5685351,5691484,5685351,5691484,2024-09-29 01:49:33,8.196
2024-09-29 01:49:33,5691917,5695152,5691130,5694079,2024-09-29 01:53:55,11.326
2024-09-29 01:53:55,5694866,5697626,5693560,5695550,2024-09-29 02:00:28,6.972
2024-09-29 02:00:28,5695489,5696276,5691095,5694763,2024-09-29 02:04:50,23.984
2024-09-29 02:04:50,5694763,5697453,5692972,5695109,2024-09-29 02:09:12,9.51
2024-09-29 02:09:12,5695109,5700740,5694771,5697972,2024-09-29 02:15:45,10.138
2024-09-29 02:15:45,5696328,5700740,5692392,5700740,2024-09-29 02:20:08,7.169
2024-09-29 02:20:08,5699953,5702444,5698569,5701475,2024-09-29 02:24:30,8.73
2024-09-29 02:24:30,5700826,5700826,5695636,5697150,2024-09-29 02:31:03,6.081
2024-09-29 02:31:03,5698811,5700913,5694598,5694598,2024-09-29 02:35:25,7.595
2024-09-29 02:35:25,5694278,5695723,5691311,5694667,2024-09-29 02:39:47,6.22
2024-09-29 02:39:47,5694849,5696890,5693768,5694944,2024-09-29 02:44:09,2.806
2024-09-29 02:44:09,5694944,5700030,5693292,5698058,2024-09-29 02:50:43,4.003
2024-09-29 02:50:43,5697366,5697799,5694641,5694641,2024-09-29 02:55:05,4.535
2024-09-29 02:55:05,5695429,5695429,5691311,5692003,2024-09-29 02:59:27,2.328
2024-09-29 02:59:27,5691138,5692756,5687228,5690187,2024-09-29 03:06:00,6.466
2024-09-29 03:06:00,5689400,5689400,5686441,5687177,2024-09-29 03:10:22,3.503
2024-09-29 03:10:22,5688284,5689149,5686986,5687332,2024-09-29 03:14:44,5.405
2024-09-29 03:14:44,5687332,5688457,5682661,5687073,2024-09-29 03:19:07,5.124
2024-09-29 03:19:07,5687073,5690835,5686286,5689434,2024-09-29 03:25:40,2.829
2024-09-29 03:25:40,5688647,5692263,5688647,5691078,2024-09-29 03:30:02,1.569
2024-09-29 03:30:02,5691078,5692245,5687687,5688033,2024-09-29 03:34:24,1.744
2024-09-29 03:34:24,5687869,5692219,5687869,5690801,2024-09-29 03:40:57,1.713
2024-09-29 03:40:57,5690801,5692176,5689754,5691389,2024-09-29 03:45:19,1.707
2024-09-29 03:45:19,5690792,5692704,5689235,5690420,2024-09-29 03:49:42,3.315
2024-09-29 03:49:42,5690706,5691692,5689919,5690515,2024-09-29 03:54:04,0.82
2024-09-29 03:54:04,5690515,5691873,5690515,5690740,2024-09-29 04:00:37,0.307
2024-09-29 04:00:37,5691527,5691527,5687851,5687912,2024-09-29 04:04:59,1.533
2024-09-29 04:04:59,5687912,5688803,5683682,5687592,2024-09-29 04:09:21,2.827
2024-09-29 04:09:21,5687592,5687592,5683872,5684659,2024-09-29 04:15:54,1.049
2024-09-29 04:15:54,5683872,5685568,5683180,5683967,2024-09-29 04:20:17,2.634
2024-09-29 04:20:17,5683180,5684305,5680412,5683518,2024-09-29 04:24:39,2.323
2024-09-29 04:24:39,5683518,5686208,5682661,5685126,2024-09-29 04:29:01,5.203
2024-09-29 04:29:01,5685126,5685914,5681969,5681969,2024-09-29 04:35:34,6.588
2024-09-29 04:35:34,5681969,5684469,5680058,5683613,2024-09-29 04:39:56,6.488
2024-09-29 04:39:56,5683613,5685126,5682142,5683699,2024-09-29 04:44:18,1.895
2024-09-29 04:44:18,5683699,5683699,5679686,5681269,2024-09-29 04:50:52,6.946
2024-09-29 04:50:52,5682056,5682229,5679893,5682229,2024-09-29 04:55:14,4.062
2024-09-29 04:55:14,5681442,5686035,5681442,5684902,2024-09-29 04:59:36,13.558
2024-09-29 04:59:36,5684902,5685689,5682203,5683864,2024-09-29 05:03:58,1.838
2024-09-29 05:03:58,5684651,5686337,5683699,5684486,2024-09-29 05:10:31,0.978
2024-09-29 05:10:31,5683699,5685343,5682506,5682506,2024-09-29 05:14:53,1.111
2024-09-29 05:14:53,5682506,5684132,5682142,5682687,2024-09-29 05:19:15,1.44
2024-09-29 05:19:15,5682488,5687073,5682488,5684045,2024-09-29 05:25:49,2.21
2024-09-29 05:25:49,5683699,5686424,5683621,5684850,2024-09-29 05:30:11,2.503
2024-09-29 05:30:11,5684850,5684850,5669340,5671987,2024-09-29 05:34:33,18.394
2024-09-29 05:34:33,5672022,5674617,5670992,5671382,2024-09-29 05:38:55,10.435
2024-09-29 05:38:55,5672541,5674617,5669332,5669332,2024-09-29 05:45:28,3.236
2024-09-29 05:45:28,5669288,5671330,5665361,5667437,2024-09-29 05:49:50,16.264
2024-09-29 05:49:50,5667282,5672584,5667273,5671684,2024-09-29 05:54:13,5.495
2024-09-29 05:54:13,5671416,5673579,5671079,5672619,2024-09-29 06:00:46,5.2
2024-09-29 06:00:46,5672108,5675957,5671800,5673362,2024-09-29 06:05:08,20.805
2024-09-29 06:05:08,5673362,5675957,5671935,5675170,2024-09-29 06:09:30,3.083
2024-09-29 06:09:30,5675170,5675577,5669859,5670032,2024-09-29 06:16:03,5.037
2024-09-29 06:16:03,5669513,5670932,5666918,5667852,2024-09-29 06:20:25,15.483
2024-09-29 06:20:25,5668640,5672177,5665015,5672177,2024-09-29 06:24:48,10.436
2024-09-29 06:24:48,5672195,5674271,5671762,5673181,2024-09-29 06:29:10,5.027
2024-09-29 06:29:10,5673146,5674444,5667956,5667956,2024-09-29 06:35:43,5.084
2024-09-29 06:35:43,5667852,5671330,5665759,5667351,2024-09-29 06:40:05,5.962
2024-09-29 06:40:05,5667351,5669185,5665534,5667783,2024-09-29 06:44:27,5.933
2024-09-29 06:44:27,5667610,5669383,5663450,5663995,2024-09-29 06:51:00,9.991
2024-09-29 06:51:00,5665448,5667584,5663770,5665361,2024-09-29 06:55:23,4.682
2024-09-29 06:55:23,5664712,5667506,5663631,5665776,2024-09-29 06:59:45,4.486
2024-09-29 06:59:45,5664989,5669081,5663804,5668224,2024-09-29 07:04:07,4.889
2024-09-29 07:04:07,5667437,5669946,5666918,5669946,2024-09-29 07:10:40,3.059
2024-09-29 07:10:40,5669946,5670638,5667195,5669332,2024-09-29 07:15:02,3.433
2024-09-29 07:15:02,5669332,5670292,5668034,5669721,2024-09-29 07:19:24,1.877
2024-09-29 07:19:24,5668934,5668934,5661521,5661521,2024-09-29 07:25:58,7.355
2024-09-29 07:25:58,5661374,5667169,5661149,5666226,2024-09-29 07:30:20,4.537
2024-09-29 07:30:20,5666226,5670465,5664712,5668363,2024-09-29 07:34:42,2.719
2024-09-29 07:34:42,5668363,5668570,5663951,5665361,2024-09-29 07:39:04,2.528
2024-09-29 07:39:04,5665361,5667143,5664366,5666356,2024-09-29 07:45:37,1.671
2024-09-29 07:45:37,5666356,5667584,5662939,5662939,2024-09-29 07:49:59,1.892
2024-09-29 07:49:59,5662766,5664064,5658061,5664064,2024-09-29 07:54:22,13.529
2024-09-29 07:54:22,5663277,5664410,5659280,5661642,2024-09-29 08:00:55,17.823
2024-09-29 08:00:55,5661642,5665491,5659894,5663199,2024-09-29 08:05:17,11.768
2024-09-29 08:05:17,5662412,5667835,5661555,5667757,2024-09-29 08:09:39,5.606
2024-09-29 08:09:39,5666970,5667619,5665188,5665188,2024-09-29 08:14:01,2.89
2024-09-29 08:14:01,5665188,5666053,5662939,5663285,2024-09-29 08:20:34,9.063
2024-09-29 08:20:34,5663112,5665275,5658960,5659747,2024-09-29 08:24:57,7.332
2024-09-29 08:24:57,5658960,5661304,5658960,5659946,2024-09-29 08:29:19,4.009
2024-09-29 08:29:19,5659159,5668181,5659159,5667264,2024-09-29 08:35:52,9.006
2024-09-29 08:35:52,5667264,5671676,5667264,5671676,2024-09-29 08:40:14,5.932
2024-09-29 08:40:14,5671857,5672818,5670551,5671684,2024-09-29 08:44:36,1.942
2024-09-29 08:44:36,5671684,5673925,5670205,5670413,2024-09-29 08:48:58,4.597
2024-09-29 08:48:58,5670413,5670854,5669133,5670032,2024-09-29 08:55:32,3.153
2024-09-29 08:55:32,5670032,5670854,5669565,5670854,2024-09-29 08:59:54,0.712
2024-09-29 08:59:54,5670032,5674608,5669210,5673821,2024-09-29 09:04:16,4.08
2024-09-29 09:04:16,5673821,5679807,5673319,5676978,2024-09-29 09:10:49,12.748
2024-09-29 09:10:49,5678250,5678596,5676476,5677454,2024-09-29 09:15:11,1.652
2024-09-29 09:15:11,5678241,5679634,5676684,5676944,2024-09-29 09:19:33,3.413
2024-09-29 09:19:33,5676944,5677705,5674876,5676286,2024-09-29 09:23:56,2.662
2024-09-29 09:23:56,5675499,5676286,5672117,5672722,2024-09-29 09:30:29,4.514
2024-09-29 09:30:29,5672722,5677324,5672722,5676537,2024-09-29 09:34:51,2.859
2024-09-29 09:34:51,5676537,5677722,5674876,5675387,2024-09-29 09:39:13,2.208
2024-09-29 09:39:13,5675387,5676200,5674184,5674971,2024-09-29 09:45:46,4.235
